text,date,source,month,year,BRIscore,BRIsentiment,tokenized_text
yuan clearing service officially launched in argentina advancing internationalization,11/9/2022 23:34,globaltimes,11,2022,0.7351,Positive,"['yuan', 'clearing', 'service', 'officially', 'launched', 'argentina', 'advancing', 'internationalization']"
simulating speed,11/8/2022 22:56,globaltimes,11,2022,0.4215,Positive,"['simulating', 'speed']"
china and latin america have more and more common languages despite political changes in those countries,11/9/2022 21:51,globaltimes,11,2022,0.5994,Positive,"['china', 'latin', 'america', 'common', 'languages', 'despite', 'political', 'changes', 'countries']"
tackling climate change china and asean are important partners,11/7/2022 16:12,globaltimes,11,2022,0.4404,Positive,"['tackling', 'climate', 'change', 'china', 'asean', 'important', 'partners']"
chinalaos railway a vivid example of highquality joint bri construction  between china and asean countries fm,11/7/2022 19:40,globaltimes,11,2022,0.9299,Positive,"['chinalaos', 'railway', 'vivid', 'example', 'highquality', 'joint', 'bri', 'construction', 'china', 'asean', 'countries', 'fm']"
over 90 of global businesses expect more trade with china under rcep survey,11/7/2022 21:48,globaltimes,11,2022,0.9355,Positive,"['90', 'global', 'businesses', 'expect', 'trade', 'with', 'china', 'rcep', 'survey']"
testing section of jakartabandung high speed railway ready for trial operation,11/6/2022 16:37,globaltimes,11,2022,0.765,Positive,"['testing', 'section', 'jakartabandung', 'high', 'speed', 'railway', 'ready', 'trial', 'operation']"
cpec moves to second phase of highlevel development with focus on capacity tech cooperation,11/3/2022 18:42,globaltimes,11,2022,0.4404,Positive,"['cpec', 'moves', 'second', 'phase', 'highlevel', 'development', 'with', 'focus', 'capacity', 'tech', 'cooperation']"
tanzanian president kicks off china visit to boost ties,11/2/2022 22:24,globaltimes,11,2022,0.6486,Positive,"['tanzanian', 'president', 'kicks', 'china', 'visit', 'boost', 'ties']"
china vietnam strive to advance ties to a new level mutual political trust withstands outside power sowing discord,11/1/2022 1:28,globaltimes,11,2022,0.3612,Positive,"['china', 'vietnam', 'strive', 'advance', 'ties', 'new', 'level', 'mutual', 'political', 'trust', 'withstands', 'outside', 'power', 'sowing', 'discord']"
chinese automakers eye latin american market contributing to local industrial chain development,11/1/2022 19:18,globaltimes,11,2022,0.8622,Positive,"['chinese', 'automakers', 'eye', 'latin', 'american', 'market', 'contributing', 'local', 'industrial', 'chain', 'development']"
a pdf interpretation of the report to the 20th cpc national congress,11/1/2022 20:32,globaltimes,11,2022,0.9451,Positive,"['pdf', 'interpretation', 'report', '20th', 'cpc', 'national', 'congress']"
fifth ciie to see broader participation this year to witness to chinas continued openingup push expert,11/1/2022 21:41,globaltimes,11,2022,0.5574,Positive,"['fifth', 'ciie', 'see', 'broader', 'participation', 'year', 'witness', 'chinas', 'continued', 'openingup', 'push', 'expert']"
crrc to build world longest subsea highspeed railway tunnel in e chinas zhejiang province,10/31/2022 0:11,globaltimes,10,2022,0.4588,Positive,"['crrc', 'build', 'world', 'longest', 'subsea', 'highspeed', 'railway', 'tunnel', 'e', 'chinas', 'zhejiang', 'province']"
china pakistan vow to promote highquality construction of cpec ahead of pms visit,10/31/2022 20:29,globaltimes,10,2022,0.7717,Positive,"['china', 'pakistan', 'vow', 'promote', 'highquality', 'construction', 'cpec', 'ahead', 'pms', 'visit']"
china pakistan to expand cooperation in key fields envoy,10/30/2022 21:05,globaltimes,10,2022,0.8158,Positive,"['china', 'pakistan', 'expand', 'cooperation', 'key', 'fields', 'envoy']"
china to host several foreign leaders following key cpc congress to set good example of major country diplomacy,10/28/2022 22:59,globaltimes,10,2022,0.7351,Positive,"['china', 'host', 'several', 'foreign', 'leaders', 'following', 'key', 'cpc', 'congress', 'set', 'good', 'example', 'major', 'country', 'diplomacy']"
